candidate_id,rank,score,reasoning
CAND_0039754,1,1.0,"Good Match, Senior Applied Scientist, 16.2 yrs experience, 20 skills (extensive), 3 roles, good semantic match, strong experience signal, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08"
CAND_0005538,2,0.945416,"Good Match, Senior AI Engineer, 5.9 yrs experience, 19 skills (extensive), 4 roles, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub active (58)"
CAND_0071974,3,0.943687,"Good Match, Senior AI Engineer, 7.8 yrs experience, 19 skills (extensive), 3 roles, 2 certifications, good semantic match, solid experience, strong skill alignment, high trust score, complete profile, boosted +0.08"
CAND_0055992,4,0.926608,"Good Match, AI Engineer, 16.9 yrs experience, 16 skills (extensive), 4 roles, good semantic match, strong experience signal, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub active (65)"
CAND_0002025,5,0.923141,"Good Match, Senior AI Engineer, 5.9 yrs experience, 20 skills (extensive), good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub score 97/100, saved by 22 recruiters"
CAND_0079387,6,0.888016,"Good Match, AI Engineer, 6.9 yrs experience, 20 skills (extensive), 4 roles, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub active (64)"
CAND_0088025,7,0.874303,"Good Match, Staff Machine Learning Engineer, 8.6 yrs experience, 19 skills (extensive), 3 roles, good semantic match, solid experience, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08"
CAND_0080766,8,0.873805,"Good Match, Staff Machine Learning Engineer, 8.8 yrs experience, 21 skills (extensive), 4 roles, good semantic match, solid experience, strong skill alignment, high trust score, complete profile, boosted +0.08, assessment avg 84/100"
CAND_0093193,9,0.8709,"Good Match, Senior Machine Learning Engineer, 7.9 yrs experience, 19 skills (extensive), good semantic match, solid experience, strong skill alignment, high trust score, complete profile, boosted +0.07, assessment avg 75/100, saved by 43 recruiters"
CAND_0018499,10,0.869388,"Good Match, Senior Machine Learning Engineer, 7.2 yrs experience, 17 skills (extensive), 3 roles, 2 certifications, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08"
CAND_0095619,11,0.863506,"Good Match, NLP Engineer, 15.6 yrs experience, 17 skills (extensive), good semantic match, strong experience signal, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, 5 skill assessments"
CAND_0081846,12,0.860645,"Good Match, Lead AI Engineer, 6.7 yrs experience, 18 skills (extensive), good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, 3 skill assessments, saved by 62 recruiters"
CAND_0046064,13,0.856182,"Good Match, Senior NLP Engineer, 8.9 yrs experience, 16 skills (extensive), 3 roles, good semantic match, solid experience, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub active (67)"
CAND_0093547,14,0.853691,"Good Match, Senior Machine Learning Engineer, 2.9 yrs experience, 21 skills (extensive), 3 roles, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub active (60), assessment avg 82/100"
CAND_0091534,15,0.851178,"Good Match, AI Engineer, 16.6 yrs experience, 10 skills (extensive), 3 roles, 2 certifications, good semantic match, strong experience signal, relevant skills, high trust score, complete profile, boosted +0.08"
CAND_0046525,16,0.833111,"Good Match, Senior Machine Learning Engineer, 6.1 yrs experience, 17 skills (extensive), good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.07, assessment avg 85/100, saved by 38 recruiters"
CAND_0077337,17,0.832831,"Good Match, Staff Machine Learning Engineer, 7.0 yrs experience, 20 skills (extensive), 4 roles, 2 certifications, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08"
CAND_0074735,18,0.820536,"Good Match, Applied ML Engineer, 5.5 yrs experience, 20 skills (extensive), 3 roles, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub score 88/100, 1 skill assessments"
CAND_0006567,19,0.817668,"Good Match, Senior AI Engineer, 7.9 yrs experience, 20 skills (extensive), 3 roles, good semantic match, solid experience, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08"
CAND_0044222,20,0.815296,"Good Match, AI Engineer, 7.7 yrs experience, 19 skills (extensive), good semantic match, solid experience, strong skill alignment, high trust score, complete profile, boosted +0.07, 2 skill assessments, saved by 54 recruiters"
CAND_0093331,21,0.811964,"Good Match, NLP Engineer, 16.1 yrs experience, 12 skills (extensive), 3 roles, 2 certifications, good semantic match, strong experience signal, strong skill alignment, high trust score, complete profile, boosted +0.08"
CAND_0011687,22,0.809587,"Good Match, Senior NLP Engineer, 7.8 yrs experience, 13 skills (extensive), good semantic match, solid experience, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.07, GitHub score 76/100"
CAND_0028793,23,0.806765,"Moderate Match, Search Engineer, 7.2 yrs experience, 15 skills (extensive), 3 roles, 2 certifications, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub score 83/100"
CAND_0037980,24,0.803338,"Moderate Match, Senior Applied Scientist, 9.0 yrs experience, 21 skills (extensive), 3 roles, 2 certifications, good semantic match, solid experience, strong skill alignment, high trust score, complete profile, boosted +0.08"
CAND_0055905,25,0.799013,"Moderate Match, Senior Machine Learning Engineer, 8.1 yrs experience, 13 skills (extensive), 3 roles, good semantic match, solid experience, relevant skills, strong behavioral signal, high trust score, complete profile, boosted +0.08"
CAND_0086022,26,0.795606,"Moderate Match, Senior Applied Scientist, 5.3 yrs experience, 19 skills (extensive), 2 certifications, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub score 75/100, assessment avg 84/100"
CAND_0099806,27,0.792715,"Moderate Match, AI Engineer, 4.6 yrs experience, 18 skills (extensive), 2 certifications, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub score 87/100"
CAND_0053591,28,0.789829,"Moderate Match, AI Engineer, 5.3 yrs experience, 14 skills (extensive), 2 certifications, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub score 76/100"
CAND_0030031,29,0.788776,"Moderate Match, AI Engineer, 5.7 yrs experience, 16 skills (extensive), 3 roles, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.08, 5 skill assessments, saved by 13 recruiters"
CAND_0081686,30,0.784871,"Moderate Match, Search Engineer, 6.0 yrs experience, 18 skills (extensive), 3 roles, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub active (46), assessment avg 71/100"
CAND_0013536,31,0.784352,"Moderate Match, Applied ML Engineer, 14.1 yrs experience, 18 skills (extensive), good semantic match, strong experience signal, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub active (52)"
CAND_0094759,32,0.783217,"Moderate Match, Lead AI Engineer, 8.6 yrs experience, 16 skills (extensive), 3 roles, good semantic match, solid experience, strong skill alignment, high trust score, boosted +0.07, GitHub score 76/100, assessment avg 73/100"
CAND_0093912,33,0.780445,"Moderate Match, Senior Data Scientist, 5.3 yrs experience, 13 skills (extensive), 3 roles, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub score 82/100"
CAND_0030953,34,0.777307,"Moderate Match, Search Engineer, 7.8 yrs experience, 14 skills (extensive), 5 roles (deep career), good semantic match, solid experience, relevant skills, high trust score, complete profile, boosted +0.07, 4 skill assessments"
CAND_0043228,35,0.776545,"Moderate Match, Applied ML Engineer, 6.8 yrs experience, 18 skills (extensive), 3 roles, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub active (48), assessment avg 74/100"
CAND_0008978,36,0.776458,"Moderate Match, Junior ML Engineer, 6.7 yrs experience, 19 skills (extensive), 3 roles, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub score 75/100, 5 skill assessments"
CAND_0008425,37,0.776084,"Moderate Match, Senior NLP Engineer, 7.8 yrs experience, 17 skills (extensive), 3 roles, 2 certifications, good semantic match, solid experience, strong skill alignment, high trust score, complete profile, boosted +0.06"
CAND_0071115,38,0.774368,"Moderate Match, Recommendation Systems Engineer, 16.5 yrs experience, 14 skills (extensive), good semantic match, strong experience signal, strong skill alignment, high trust score, complete profile, assessment avg 79/100, saved by 29 recruiters, good recruiter engagement"
CAND_0064904,39,0.774024,"Moderate Match, AI Engineer, 4.9 yrs experience, 16 skills (extensive), good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub active (59), assessment avg 70/100, saved by 39 recruiters"
CAND_0050876,40,0.772842,"Moderate Match, Applied ML Engineer, 6.0 yrs experience, 18 skills (extensive), 3 roles, 2 certifications, good semantic match, strong skill alignment, strong behavioral signal, high trust score, boosted +0.08, GitHub score 86/100"
CAND_0061257,41,0.771541,"Moderate Match, Staff Machine Learning Engineer, 8.0 yrs experience, 16 skills (extensive), good semantic match, solid experience, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub active (45)"
CAND_0036437,42,0.770981,"Moderate Match, Search Engineer, 4.8 yrs experience, 12 skills (extensive), 3 roles, good semantic match, relevant skills, high trust score, complete profile, boosted +0.08, assessment avg 71/100, saved by 15 recruiters"
CAND_0033861,43,0.769609,"Moderate Match, Senior NLP Engineer, 8.0 yrs experience, 23 skills (extensive), 3 roles, good semantic match, solid experience, strong skill alignment, high trust score, boosted +0.05, assessment avg 79/100, fully verified"
CAND_0098846,44,0.769449,"Moderate Match, AI Engineer, 7.6 yrs experience, 18 skills (extensive), 4 roles, good semantic match, solid experience, relevant skills, high trust score, complete profile, boosted +0.08, GitHub score 86/100"
CAND_0039383,45,0.769446,"Moderate Match, Applied ML Engineer, 7.1 yrs experience, 16 skills (extensive), 3 roles, 2 certifications, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub score 86/100"
CAND_0041669,46,0.768591,"Moderate Match, Recommendation Systems Engineer, 8.0 yrs experience, 20 skills (extensive), 3 roles, good semantic match, solid experience, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08"
CAND_0052682,47,0.765913,"Moderate Match, NLP Engineer, 6.6 yrs experience, 15 skills (extensive), good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub score 72/100, 2 skill assessments"
CAND_0020877,48,0.764163,"Moderate Match, Applied ML Engineer, 5.1 yrs experience, 18 skills (extensive), good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.06, GitHub score 74/100, assessment avg 75/100, saved by 19 recruiters"
CAND_0016163,49,0.762665,"Moderate Match, Applied ML Engineer, 6.7 yrs experience, 17 skills (extensive), 3 roles, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub score 95/100"
CAND_0051615,50,0.762352,"Moderate Match, Search Engineer, 4.6 yrs experience, 15 skills (extensive), good semantic match, relevant skills, high trust score, complete profile, boosted +0.08, GitHub score 95/100, saved by 42 recruiters, high recruiter engagement"
CAND_0042100,51,0.762144,"Moderate Match, Machine Learning Engineer, 7.3 yrs experience, 13 skills (extensive), good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub active (43), assessment avg 75/100, saved by 11 recruiters"
CAND_0011432,52,0.762082,"Moderate Match, Senior Data Scientist, 7.6 yrs experience, 15 skills (extensive), 3 roles, 2 certifications, good semantic match, solid experience, relevant skills, high trust score, complete profile, boosted +0.07"
CAND_0037944,53,0.758154,"Moderate Match, Senior Data Scientist, 4.9 yrs experience, 18 skills (extensive), 2 certifications, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub score 83/100, assessment avg 84/100"
CAND_0027691,54,0.755864,"Moderate Match, NLP Engineer, 6.5 yrs experience, 17 skills (extensive), 3 roles, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub active (58), 5 skill assessments"
CAND_0076163,55,0.754866,"Moderate Match, NLP Engineer, 6.9 yrs experience, 17 skills (extensive), 2 certifications, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub score 85/100"
CAND_0065195,56,0.750808,"Moderate Match, Search Engineer, 5.1 yrs experience, 13 skills (extensive), good semantic match, strong skill alignment, strong behavioral signal, high trust score, boosted +0.08, GitHub score 87/100, 1 skill assessments, saved by 13 recruiters"
CAND_0058688,57,0.749603,"Moderate Match, AI Engineer, 6.7 yrs experience, 17 skills (extensive), good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.07, 1 skill assessments, saved by 36 recruiters"
CAND_0005649,58,0.747373,"Moderate Match, Senior Data Scientist, 7.4 yrs experience, 17 skills (extensive), 4 roles, good semantic match, relevant skills, high trust score, complete profile, boosted +0.08, GitHub score 81/100, saved by 26 recruiters"
CAND_0061339,59,0.746818,"Moderate Match, Search Engineer, 4.2 yrs experience, 14 skills (extensive), 3 roles, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub score 86/100, 1 skill assessments"
CAND_0069905,60,0.744934,"Moderate Match, Applied ML Engineer, 6.6 yrs experience, 17 skills (extensive), 3 roles, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.07, GitHub active (45)"
CAND_0044855,61,0.743817,"Moderate Match, Senior Data Scientist, 6.6 yrs experience, 17 skills (extensive), 3 roles, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub active (47), 5 skill assessments"
CAND_0078002,62,0.74364,"Moderate Match, Machine Learning Engineer, 6.3 yrs experience, 16 skills (extensive), 3 roles, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub active (51), assessment avg 74/100"
CAND_0037566,63,0.742624,"Moderate Match, Machine Learning Engineer, 6.9 yrs experience, 17 skills (extensive), good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub score 73/100, assessment avg 82/100, saved by 23 recruiters"
CAND_0007460,64,0.74094,"Moderate Match, AI Engineer, 4.7 yrs experience, 18 skills (extensive), good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub active (53), 4 skill assessments, saved by 11 recruiters"
CAND_0007567,65,0.739527,"Moderate Match, AI Specialist, 6.1 yrs experience, 15 skills (extensive), good semantic match, relevant skills, high trust score, complete profile, boosted +0.07, GitHub active (52), assessment avg 77/100, saved by 30 recruiters"
CAND_0047721,66,0.738981,"Moderate Match, Senior Data Scientist, 7.0 yrs experience, 17 skills (extensive), good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub score 90/100, assessment avg 77/100, saved by 56 recruiters"
CAND_0024620,67,0.736597,"Moderate Match, AI Engineer, 5.9 yrs experience, 16 skills (extensive), 3 roles, 2 certifications, good semantic match, relevant skills, high trust score, complete profile, boosted +0.08, saved by 27 recruiters"
CAND_0005260,68,0.735211,"Moderate Match, Senior NLP Engineer, 5.2 yrs experience, 18 skills (extensive), good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, assessment avg 81/100, saved by 11 recruiters"
CAND_0058412,69,0.734947,"Moderate Match, Senior Software Engineer (ML), 6.6 yrs experience, 17 skills (extensive), 4 roles, good semantic match, relevant skills, high trust score, complete profile, boosted +0.08, 1 skill assessments, saved by 31 recruiters"
CAND_0036184,70,0.734486,"Moderate Match, Recommendation Systems Engineer, 6.0 yrs experience, 19 skills (extensive), good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub active (43), 5 skill assessments"
CAND_0074225,71,0.733353,"Moderate Match, Machine Learning Engineer, 4.3 yrs experience, 17 skills (extensive), good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub active (54), 3 skill assessments"
CAND_0087630,72,0.731522,"Moderate Match, AI Engineer, 7.2 yrs experience, 18 skills (extensive), 3 roles, 2 certifications, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.07, 4 skill assessments"
CAND_0030468,73,0.731203,"Moderate Match, Senior Applied Scientist, 5.4 yrs experience, 14 skills (extensive), 3 roles, 2 certifications, good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.07"
CAND_0020708,74,0.73026,"Moderate Match, Search Engineer, 4.2 yrs experience, 19 skills (extensive), 2 certifications, good semantic match, strong skill alignment, complete profile, boosted +0.08, GitHub score 84/100, 1 skill assessments, saved by 52 recruiters"
CAND_0020350,75,0.730106,"Moderate Match, AI Engineer, 5.8 yrs experience, 15 skills (extensive), 2 certifications, good semantic match, relevant skills, high trust score, complete profile, boosted +0.07, 4 skill assessments, saved by 62 recruiters"
CAND_0081852,76,0.728356,"Moderate Match, Senior Data Scientist, 5.9 yrs experience, 14 skills (extensive), 2 certifications, good semantic match, relevant skills, high trust score, complete profile, boosted +0.07, GitHub score 88/100, saved by 25 recruiters"
CAND_0018549,77,0.72664,"Moderate Match, Recommendation Systems Engineer, 6.8 yrs experience, 14 skills (extensive), good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub active (56), assessment avg 72/100, saved by 15 recruiters"
CAND_0093401,78,0.725421,"Moderate Match, AI Specialist, 6.0 yrs experience, 12 skills (extensive), 3 roles, good semantic match, relevant skills, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub active (52)"
CAND_0004330,79,0.723315,"Moderate Match, Mechanical Engineer, 13.8 yrs experience, 20 skills (extensive), 5 roles (deep career), good semantic match, strong experience signal, relevant skills, high trust score, boosted +0.06, saved by 10 recruiters, good recruiter engagement"
CAND_0006418,80,0.722088,"Moderate Match, Machine Learning Engineer, 5.7 yrs experience, 16 skills (extensive), good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.08, GitHub active (60), assessment avg 89/100, high recruiter saves"
CAND_0067866,81,0.721615,"Moderate Match, Senior Software Engineer (ML), 6.4 yrs experience, 13 skills (extensive), 3 roles, good semantic match, relevant skills, strong behavioral signal, high trust score, complete profile, boosted +0.07, saved by 26 recruiters"
CAND_0015528,82,0.721509,"Moderate Match, Applied ML Engineer, 7.4 yrs experience, 17 skills (extensive), 3 roles, good semantic match, strong skill alignment, high trust score, complete profile, GitHub active (51), 4 skill assessments, good recruiter engagement"
CAND_0057563,83,0.720571,"Moderate Match, NLP Engineer, 6.8 yrs experience, 14 skills (extensive), 3 roles, good semantic match, relevant skills, high trust score, complete profile, boosted +0.07, assessment avg 81/100, saved by 33 recruiters"
CAND_0084819,84,0.717446,"Moderate Match, Search Engineer, 4.5 yrs experience, 17 skills (extensive), good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.07, GitHub active (56), assessment avg 77/100"
CAND_0060054,85,0.714867,"Moderate Match, AI Engineer, 6.4 yrs experience, 10 skills (extensive), 3 roles, 2 certifications, good semantic match, relevant skills, high trust score, complete profile, boosted +0.05, assessment avg 90/100"
CAND_0049896,86,0.712376,"Moderate Match, Search Engineer, 7.3 yrs experience, 16 skills (extensive), 2 certifications, good semantic match, relevant skills, high trust score, complete profile, boosted +0.08, saved by 44 recruiters, fully verified"
CAND_0033179,87,0.711442,"Moderate Match, AI Research Engineer, 6.9 yrs experience, 16 skills (extensive), good semantic match, relevant skills, strong behavioral signal, complete profile, boosted +0.08, assessment avg 72/100, saved by 33 recruiters, high recruiter engagement"
CAND_0068351,88,0.711408,"Moderate Match, Lead AI Engineer, 6.4 yrs experience, 19 skills (extensive), 3 roles, good semantic match, relevant skills, complete profile, boosted +0.08, saved by 66 recruiters, high recruiter engagement, email verified"
CAND_0042029,89,0.708278,"Moderate Match, Senior Data Scientist, 6.5 yrs experience, 18 skills (extensive), good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub score 79/100, assessment avg 74/100, saved by 16 recruiters"
CAND_0054123,90,0.707014,"Moderate Match, Applied ML Engineer, 4.7 yrs experience, 15 skills (extensive), 2 certifications, good semantic match, strong skill alignment, high trust score, boosted +0.08, GitHub score 72/100, assessment avg 72/100, saved by 11 recruiters"
CAND_0066999,91,0.706867,"Moderate Match, Recommendation Systems Engineer, 5.9 yrs experience, 15 skills (extensive), good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub score 94/100, 5 skill assessments, saved by 29 recruiters"
CAND_0040887,92,0.706392,"Moderate Match, Machine Learning Engineer, 4.7 yrs experience, 12 skills (extensive), 2 certifications, good semantic match, relevant skills, strong behavioral signal, high trust score, complete profile, boosted +0.08, assessment avg 71/100"
CAND_0049540,93,0.70358,"Moderate Match, ML Engineer, 6.8 yrs experience, 13 skills (extensive), 3 roles, good semantic match, relevant skills, strong behavioral signal, complete profile, boosted +0.08, 2 skill assessments, saved by 43 recruiters"
CAND_0078042,94,0.702788,"Moderate Match, Applied ML Engineer, 4.7 yrs experience, 14 skills (extensive), good semantic match, strong skill alignment, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub score 84/100, assessment avg 72/100"
CAND_0027801,95,0.702579,"Moderate Match, NLP Engineer, 7.4 yrs experience, 15 skills (extensive), 3 roles, 2 certifications, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.06, GitHub active (63)"
CAND_0000165,96,0.700842,"Moderate Match, AI Specialist, 6.8 yrs experience, 14 skills (extensive), 2 certifications, good semantic match, relevant skills, high trust score, boosted +0.08, GitHub active (62), assessment avg 78/100, saved by 18 recruiters"
CAND_0069248,97,0.700838,"Moderate Match, AI Research Engineer, 5.4 yrs experience, 16 skills (extensive), 3 roles, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub score 80/100, assessment avg 71/100"
CAND_0018722,98,0.699548,"Moderate Match, Recommendation Systems Engineer, 6.6 yrs experience, 14 skills (extensive), 3 roles, good semantic match, relevant skills, strong behavioral signal, high trust score, complete profile, boosted +0.08, GitHub score 94/100"
CAND_0009691,99,0.698835,"Moderate Match, Applied ML Engineer, 6.2 yrs experience, 19 skills (extensive), 3 roles, 2 certifications, good semantic match, strong skill alignment, high trust score, complete profile, boosted +0.07, GitHub active (68)"
CAND_0065878,100,0.697864,"Moderate Match, Senior Data Scientist, 7.8 yrs experience, 15 skills (extensive), 4 roles, good semantic match, solid experience, relevant skills, high trust score, complete profile, boosted +0.06, 3 skill assessments"
